Index,Call Number,Title,Barcode,Notes,Image_barcode,Image_1,Image_2,Image_3,Year,Author,Interventions,Location-Building,Location-Shelf,Class,Subclass,Decade2,Language,Location,,
BMC-E-0039,E176 .S81 (vol. 21),The library of American biography.,3.1796E+13,,B_Images/BMC-E-0039.Image_barcode.213215.jpg,B_Images/BMC-E-0039.Image_1.213227.jpg,,,1834-48.,"Sparks, Jared, 1789-1866. ed.",Yes,Canaday Library,Stacks (Monographs),E,E,1830s,English,mau,,
BMC-D-0003,D2 .A7 (vol. 98 1856),"The Annual register, or, a view of the history and politics of the year.",3.1796E+13,,,,,,1839-1863.,,No,Canaday Library,"Stacks (Monographs, Non-Circ)",D,D,1830s,NA,NA,,
BMC-D-0007,D2 .A7 (vol. 83 1841),"The Annual register, or, a view of the history and politics of the year.",3.1796E+13,,,,,,1839-1863.,,No,Canaday Library,"Stacks (Monographs, Non-Circ)",D,D,1830s,NA,NA,,
BMC-D-0010,D2 .A7 (vol. 94 1852),"The Annual register, or, a view of the history and politics of the year.",3.1796E+13,,,,,,1839-1863.,,No,Canaday Library,"Stacks (Monographs, Non-Circ)",D,D,1830s,NA,NA,,
BMC-DB-0001,DB38 .B45 (vol. 1),Beiträge zur Landeskunde Oesterreich's unter der Enns /,31796000996021,,,,,,1832-34.,,No,Canaday Library,Stacks (Monographs),D,DB,1830s,German,NA,,
BMC-E-0065,E203 .A5 f (vol. Ser. 4 v. 4),"American archives : consisting of a collection of authentick records, state papers, debates, and letters and other notices of publick affairs, the whole forming a documentary history of the origin and progress of the North American colonies; of the causes and accomplishment of the American Revolution; and of the Constitution of government for the United States, to the final ratification thereof /",3.1796E+13,,,,,,1837-1853.,,No,Canaday Library,Folio (Floor B),E,E,1830s,English,dcu,,
BMC-E-0066,E203 .A5 f (vol. Ser. 4 v. 1),"American archives : consisting of a collection of authentick records, state papers, debates, and letters and other notices of publick affairs, the whole forming a documentary history of the origin and progress of the North American colonies; of the causes and accomplishment of the American Revolution; and of the Constitution of government for the United States, to the final ratification thereof /",3.1796E+13,,,,,,1837-1853.,,No,Canaday Library,Folio (Floor B),E,E,1830s,English,dcu,,
BMC-PR-0109,PR2541 .D8 (vol. 1),The dramatic works of Robert Greene: to which are added his poems /,3.1796E+13,,B_Images/BMC-PR-0109.Image_barcode.173202.jpg,B_Images/BMC-PR-0109.Image_1.173151.jpg,,,1831,"Greene, Robert, 1558?-1592.",No,Canaday Library,Stacks (Monographs),P,PR,1830s,NA,enk,,
BMC-BR-0038,BR65.A6 E5 1838,The confessions of S. Augustine /,3.17961E+13,,,,,,1838,"Augustine, of Hippo, Saint, 354-430.",No,Carpenter Library,Stacks,B,BR,1830s,English,enk,,
BMC-BS-0013,BS580.D2 I8 1831,Observations upon the prophecies of Daniel.,3.1796E+13,,,B_Images/BMC-BS-0013.Image_1.193800.jpg,,,1831,"Newton, Isaac, 1642-1727.",No,Canaday Library,Stacks (Monographs),B,BS,1830s,English,enk,,
BMC-DA-0017,DA20 .S9 v.2,"Wills and inventories illustrative of the history, manners, language, statistics, &c., of the northern countries of England : from the eleventh century downwards.",31796005207978,,,,,,1835-1929.,,No,Canaday Library,Stacks (Monographs),D,DA,1830s,English,enk,,
BMC-DA-0117,DA462.M4 T4 (vol. 2),"Memoirs of Sarah: duchess of Marlborough, and of the court of Queen Anne /",31796002092670,,,,,,1839.,"Thomson, A. T., Mrs., 1797-1862.",No,Canaday Library,Stacks (Monographs),D,DA,1830s,English,enk,,
